tanggal,positif,negatif,inconclusive,jumlah_sampel
7/15/2020 0:00,53,640,1,694
7/16/2020 0:00,36,1033,0,1069
7/17/2020 0:00,60,685,1,746
7/18/2020 0:00,54,1830,0,1884
7/19/2020 0:00,3,531,15,549
7/20/2020 0:00,7,542,0,549
7/21/2020 0:00,56,3001,2,3059
7/22/2020 0:00,75,1665,5,1745
7/23/2020 0:00,102,1090,0,1192
7/24/2020 0:00,58,671,0,729
7/25/2020 0:00,60,777,0,837
7/26/2020 0:00,17,453,0,470
7/27/2020 0:00,31,426,6,463
7/28/2020 0:00,170,660,1,831
7/29/2020 0:00,96,1365,2,1463
7/30/2020 0:00,87,1247,2,1336
7/31/2020 0:00,93,1217,2,1312
8/1/2020 0:00,28,233,0,261
8/2/2020 0:00,86,577,0,663
8/3/2020 0:00,22,297,5,324
8/4/2020 0:00,208,1698,2,1908
8/5/2020 0:00,132,862,9,1003
8/6/2020 0:00,112,1094,6,1212
8/7/2020 0:00,159,869,5,1033
8/8/2020 0:00,231,1012,8,1251
8/9/2020 0:00,203,287,2,492
8/10/2020 0:00,24,180,1,205
8/11/2020 0:00,118,901,1,1020
8/12/2020 0:00,148,831,2,981
8/13/2020 0:00,171,1220,-6,1385
8/14/2020 0:00,406,1086,6,1498
8/15/2020 0:00,219,997,0,1216
8/16/2020 0:00,65,364,-6,423
8/17/2020 0:00,40,376,2,418
8/18/2020 0:00,35,121,-1,155
8/19/2020 0:00,179,1251,9,1439
8/20/2020 0:00,217,946,12,1175
8/21/2020 0:00,48,498,1,547
8/22/2020 0:00,86,973,2,1061
8/23/2020 0:00,39,580,8,627
8/24/2020 0:00,43,274,3,320
8/25/2020 0:00,232,1935,8,2175
8/26/2020 0:00,194,1287,3,1484
8/27/2020 0:00,111,1157,1,1269
8/28/2020 0:00,335,1380,10,1725
8/29/2020 0:00,231,990,7,1228
8/30/2020 0:00,184,739,1,924
8/31/2020 0:00,55,476,4,535
9/1/2020 0:00,253,1884,5,2142
9/2/2020 0:00,236,1685,11,1932
9/3/2020 0:00,395,1421,11,1827
9/4/2020 0:00,244,1264,7,1515
9/5/2020 0:00,217,956,16,1189
9/6/2020 0:00,171,716,5,892
9/7/2020 0:00,208,825,10,1043
9/8/2020 0:00,370,1209,20,1599
9/9/2020 0:00,347,1325,20,1692
9/10/2020 0:00,357,1298,10,1665
9/11/2020 0:00,290,1044,5,1339
9/12/2020 0:00,298,878,18,1194
9/13/2020 0:00,114,1037,12,1163
9/14/2020 0:00,108,856,37,1001
9/16/2020 0:00,534,2180,16,2730
9/17/2020 0:00,315,1655,9,1979
9/18/2020 0:00,363,1857,48,2268
9/19/2020 0:00,206,1200,21,1427
9/20/2020 0:00,164,2046,7,2217
9/21/2020 0:00,111,662,1,774
9/22/2020 0:00,284,1384,14,1682
9/23/2020 0:00,264,1627,10,1901
9/24/2020 0:00,501,1691,17,2209
9/25/2020 0:00,301,1689,15,2005
9/26/2020 0:00,235,1717,12,1964
9/27/2020 0:00,164,1043,4,1211
9/28/2020 0:00,120,523,0,643
9/29/2020 0:00,479,1245,96,1820
9/30/2020 0:00,502,1273,67,1842
10/1/2020 0:00,593,1447,29,2069
10/2/2020 0:00,452,1848,52,2352
10/3/2020 0:00,228,1793,4,2025
10/4/2020 0:00,289,1693,4,1986
10/5/2020 0:00,166,823,-14,975
10/6/2020 0:00,298,1608,10,1916
10/7/2020 0:00,364,2204,22,2590
10/8/2020 0:00,331,2298,19,2648
10/9/2020 0:00,384,2959,23,3366
10/10/2020 0:00,400,2542,11,2953
10/11/2020 0:00,206,1620,-4,1822
10/12/2020 0:00,134,1106,3,1243
10/13/2020 0:00,360,2097,28,2485
10/14/2020 0:00,490,2625,29,3144
10/15/2020 0:00,530,2958,61,3549
10/16/2020 0:00,388,2377,53,2818
10/17/2020 0:00,266,985,18,1269
10/18/2020 0:00,270,1409,3,1682
10/19/2020 0:00,44,312,0,356
10/20/2020 0:00,1061,2294,55,3410
10/21/2020 0:00,907,2640,40,3587
10/22/2020 0:00,726,1561,11,2298
10/23/2020 0:00,625,3326,17,3968
10/24/2020 0:00,416,1702,12,2130
10/25/2020 0:00,404,1624,0,2028
10/26/2020 0:00,214,986,1,1201
10/27/2020 0:00,409,1362,13,1784
10/28/2020 0:00,444,1566,9,2019
10/29/2020 0:00,433,1550,13,1996
10/30/2020 0:00,285,1180,2,1467
